"","id","chall_neg","chall_pos","crit_neg","crit_pos"
"1","D1",4.52916313212428,4.48665087847612,5.01938779672762,4.42811841020471
"2","D10",3.1238209067207,2.80273864055351,3.73543290426033,3.19093654625446
"3","D100",3.97537852824416,4.16930899730148,4.64625665710028,3.57209567682229
"4","D101",3.41166706976208,3.15208246605203,2.90406971484649,3.34508335701099
"5","D102",3.147853734636,4.09583604955868,3.26419688285637,4.22969667027348
"6","D103",4.1714421948376,4.10691226623948,4.19893327200773,4.15174515356396
"7","D104",4.83362371385879,5.42975861911333,5.07451361878296,4.9815631689827
"8","D105",4.69255766404805,4.35151140888426,5.16372003477339,4.45730188311487
"9","D106",4.01530583189851,4.25171664292628,4.10360230701984,3.79679704118891
"10","D107",5.62092178711926,5.84391005123314,5.53000785430858,5.74408525320495
"11","D108",4.91270460046941,4.79584928056005,4.35731211936811,4.54123855452334
"12","D109",3.78370500697419,3.82145928029494,3.19007249143169,3.48936369741713
"13","D11",3.9164437935614,3.53095162674647,4.00355990982714,3.70683257152745
"14","D110",4.2922994641593,4.17819063970149,4.17321271498617,4.58905772710567
"15","D111",3.54021703657211,4.23987401210125,3.75293777130792,4.10235428897739
"16","D112",7.14541962634263,6.9074389558879,6.43571864981846,6.16128527514341
"17","D113",3.66923011496632,3.40213232838819,3.72422825192468,3.9959222150406
"18","D114",4.45466900542868,4.5357723448693,4.18248366404372,4.32215748695879
"19","D115",4.43977339260512,4.76878064139154,4.07837060233364,4.21774137766506
"20","D116",5.94992350877726,5.836316525003,5.56692131766221,6.02187808017377
"21","D117",5.41422178928663,5.60439416794579,5.60213278030791,5.35091298901663
"22","D118",4.80509336514069,5.11318332581141,4.65867644828588,5.20822330257691
"23","D119",4.45284638553555,4.86318196971563,4.44312931759112,3.90851390668478
"24","D12",3.42502580794244,3.47835204085382,2.94147138429684,3.09625856974289
"25","D120",4.42266322025474,4.81405853955668,3.97296207788648,4.3993626580078
"26","D121",3.46074580954805,3.86948161182184,3.39887201029144,3.65823022897985
"27","D122",6.21896445925673,5.63095285627794,5.64039340953678,5.80918544436548
"28","D123",3.28812370541564,4.32888747301689,3.73951679206429,3.45661838039763
"29","D124",4.22098294231283,4.26482122195986,4.47563688757328,4.36384698036034
"30","D125",5.32645454943246,4.89097693556661,4.69127372258144,4.86430917412083
"31","D126",3.99218268553787,3.64107301377301,4.40202135823463,3.87413218125695
"32","D127",3.83179838693116,3.611526006057,3.62667594331075,3.71926565354162
"33","D128",5.68684209860195,5.87348398504553,5.98442562508516,5.76971870576228
"34","D129",7.07947998910292,6.57079524309263,6.11781852994452,6.02109007338414
"35","D13",3.6918867875809,3.76475297417789,3.73898622935692,3.67308261039458
"36","D130",2.58493859732568,2.581065813649,0.998177949838426,NA
"37","D131",3.8236384377752,4.27962456806781,4.47922618965136,3.7807576659332
"38","D132",5.00443118550429,4.74230945886178,4.80180538760313,4.30447757724077
"39","D133",4.41708394351939,4.57776166924455,4.44149630516271,4.91471669137548
"40","D134",4.12229982940195,3.76045329147892,4.04085372913416,4.03060973205079
"41","D135",4.22787489600095,4.5512655481251,4.24230164752013,3.69545677214107
"42","D136",6.29678797188946,5.38817730508711,5.88463643914572,6.19749858312289
"43","D137",3.34042631786107,3.49064617487689,3.57704132532501,3.33681681342848
"44","D138",5.35422311956944,5.36719897669433,4.79448131023289,5.25680629371963
"45","D139",3.87805825764449,3.40551481744377,3.4986262969351,3.44682767290356
"46","D14",6.22717595732297,6.98029801069993,6.3850118348148,6.92718044212942
"47","D140",3.80233319641335,4.61334567308754,4.1254349906519,4.58566032564951
"48","D141",7.21317160388759,7.03187480874991,6.48471926109793,7.00266664157099
"49","D142",4.92938525348682,5.17514912506894,4.76799548476793,5.05275850645654
"50","D143",4.76788318957351,4.32131807650408,4.13951990795754,4.05590650880146
"51","D144",3.67439735020868,3.80959772748639,3.71811269308402,3.99731672639103
"52","D145",4.74237239306618,4.78978809674926,4.28274091573832,4.20966754891354
"53","D146",4.71960771332193,5.39829254867821,5.02351340856988,4.80183727526127
"54","D147",5.55116951848684,5.70774334906351,5.23330061586607,5.80490797231583
"55","D148",4.27876145449,4.85896417777279,4.41466720053277,4.83477158180658
"56","D149",4.72666196365334,4.60993731786739,4.46770624228988,4.0390405646218
"57","D15",4.81383636822461,4.62577071080356,4.83434196950105,4.72793817914133
"58","D150",5.34434907580618,5.15827518479641,5.21089107150315,5.3445888617482
"59","D151",4.15297530013514,4.30814781043611,4.5597535550733,4.22721252199368
"60","D152",4.01728595106508,3.61316479788752,3.61198527346033,3.33585209469425
"61","D153",5.07586868239608,4.92184491207958,4.77262835564108,4.51214792220636
"62","D154",4.89150770335103,5.00509741414609,4.59654584272049,4.55871526942607
"63","D155",3.77979254036217,4.35010674666987,4.48157599835859,4.08867150071953
