"","id","chall_neg","chall_pos","crit_neg","crit_pos","challange_d","crit_d","Challengescenario.1","gender.1","age.1","IQMS_M","CRMS_M","CHMS_M","FMS_M","FSC_M","CrSC_M"
"1","00e474cd-f622-4dd8-9a11-82970747b4f2",4.77096138913116,5.16348064420029,4.9087598242721,5.5185090589815,-0.392519255069127,-0.609749234709398,2,2,"19",6,4.5,4,5,4.5,4
"2","0af09e98-c543-4e11-9b76-6cae67a51d64",3.92331926063667,4.32236224106423,4.21270929802973,4.59619254472248,-0.399042980427565,-0.383483246692749,2,2,"25",3.5,4.25,4.5,1.5,2.5,3.5
"3","0b2d841e-70a4-4e5b-a17d-1eebde9a1ab5",5.4392539365831,6.23848500607088,5.91765927566912,5.54817400436978,-0.799231069487781,0.369485271299342,2,1,"18",5,4,4.75,4,2.5,3
"4","0c34b246-fc4b-4845-8f49-e87417d8025f",4.94040918862641,5.20718852425119,5.13888068810517,5.56506408161057,-0.266779335624779,-0.426183393505399,2,1,"21",5,2.5,4.5,2.5,3.5,3
"5","0dfd233a-7db0-4e14-90f5-4a4ad431c62e",4.33981108714621,4.54187656978415,4.43822422119607,4.36035594383154,-0.20206548263794,0.0778682773645274,2,1,"18",5,5,4.75,4.25,4.5,4
"6","14feff9d-4566-4b3b-bfc4-48478b10e26c",3.8782192031522,4.5286961515986,4.15163238749328,4.06559462114778,-0.650476948446399,0.0860377663454992,2,1,"22",5,4.5,4.25,3.25,3.5,3.5
"7","156f7a6c-e8f2-4af6-87b4-d2a0f52cc235",5.21046329647822,4.91274799449803,5.1562415745629,4.92764792100739,0.297715301980196,0.228593653555505,1,2,"20",5.5,4,4.75,4.25,4.5,3.5
"8","19ecc6e7-c4fd-4a28-bbfe-631e83a5fa57",4.13430715057509,4.07376056579569,3.95177036716611,4.71993862219021,0.0605465847793942,-0.768168255024096,2,2,"18",3,4.5,4.75,4,2,4
"9","1ad5a282-f329-4c5e-beac-4b977086125a",4.35143216264001,4.17510374082662,4.16847959617888,4.01168641867965,0.176328421813394,0.156793177499233,1,1,"18",6,4.25,4,4.25,3.5,4.5
"10","1ce93142-8703-4f0c-a0ff-4620a77aed5d",3.5785431347432,4.15975155840286,4.27565008709597,3.99677977266034,-0.58120842365966,0.278870314435628,2,1,"20",5.5,5.75,5.5,5.25,4.5,4.5
"11","1de87059-7c0e-443c-9708-be1707f11bb5",4.027926611609,4.11651586243974,3.67593885569196,3.9319205862901,-0.0885892508307435,-0.255981730598137,2,2,"20",4,4,4,3.25,3,3
"12","21daf5e1-5b85-49c3-93a6-1df57a2821e5",5.30505177550757,5.52783381410721,5.43295323934866,5.10101132260343,-0.222782038599634,0.331941916745227,1,1,"20",4.5,4.75,5,4,4,4
"13","23e6f134-f01b-446c-9017-6ccf2ade89d7",4.56229998236098,4.02278358087564,4.25557184183396,4.0840333643434,0.539516401485346,0.171538477490556,2,1,"19",3.5,4.25,4.5,3.25,2.5,3
