id,chall_neg,chall_pos,crit_neg,crit_pos,challange_d,crit_d,gender_1,age_1,iqms_avg,crms_avg,chms_avg,fms_avg,fsc_avg,crsc_avg,challengescenario_1
00e474cd-f622-4dd8-9a11-82970747b4f2,4.77096138913116,5.163480644200287,4.9087598242720984,5.518509058981497,-0.39251925506912677,-0.6097492347093985,2,19,6,4.5,4,5,4.5,4,2
0af09e98-c543-4e11-9b76-6cae67a51d64,3.9233192606366685,4.3223622410642335,4.212709298029733,4.596192544722482,-0.39904298042756503,-0.3834832466927489,2,25,3.5,4.25,4.5,1.5,2.5,3.5,2
0b2d841e-70a4-4e5b-a17d-1eebde9a1ab5,5.439253936583102,6.238485006070882,5.917659275669124,5.548174004369782,-0.7992310694877807,0.36948527129934217,1,18,5,4,4.75,4,2.5,3,2
0c34b246-fc4b-4845-8f49-e87417d8025f,4.940409188626411,5.20718852425119,5.138880688105175,5.565064081610574,-0.2667793356247792,-0.4261833935053989,1,21,5,2.5,4.5,2.5,3.5,3,2
0dfd233a-7db0-4e14-90f5-4a4ad431c62e,4.339811087146207,4.541876569784146,4.438224221196068,4.36035594383154,-0.20206548263793955,0.0778682773645274,1,18,5,5,4.75,4.25,4.5,4,2
14feff9d-4566-4b3b-bfc4-48478b10e26c,3.8782192031521983,4.528696151598598,4.151632387493277,4.065594621147778,-0.6504769484463995,0.0860377663454992,1,22,5,4.5,4.25,3.25,3.5,3.5,2
156f7a6c-e8f2-4af6-87b4-d2a0f52cc235,5.210463296478222,4.912747994498027,5.156241574562897,4.9276479210073925,0.2977153019801957,0.22859365355550487,2,20,5.5,4,4.75,4.25,4.5,3.5,1
19ecc6e7-c4fd-4a28-bbfe-631e83a5fa57,4.1343071505750855,4.073760565795691,3.9517703671661124,4.719938622190209,0.06054658477939423,-0.7681682550240962,2,18,3,4.5,4.75,4,2,4,2
1ad5a282-f329-4c5e-beac-4b977086125a,4.351432162640009,4.175103740826615,4.1684795961788845,4.011686418679652,0.1763284218133938,0.1567931774992326,1,18,6,4.25,4,4.25,3.5,4.5,1
1ce93142-8703-4f0c-a0ff-4620a77aed5d,3.5785431347431986,4.159751558402859,4.275650087095971,3.996779772660343,-0.5812084236596604,0.27887031443562815,1,20,5.5,5.75,5.5,5.25,4.5,4.5,2
1de87059-7c0e-443c-9708-be1707f11bb5,4.027926611608996,4.11651586243974,3.6759388556919603,3.9319205862900977,-0.08858925083074354,-0.25598173059813734,2,20,4,4,4,3.25,3,3,2
21daf5e1-5b85-49c3-93a6-1df57a2821e5,5.305051775507573,5.527833814107207,5.432953239348661,5.101011322603434,-0.2227820385996342,0.3319419167452269,1,20,4.5,4.75,5,4,4,4,1
23e6f134-f01b-446c-9017-6ccf2ade89d7,4.562299982360984,4.022783580875638,4.255571841833957,4.0840333643434015,0.5395164014853462,0.1715384774905555,1,19,3.5,4.25,4.5,3.25,2.5,3,2
268e47b1-6a91-4056-ad03-ea72eac5534d,4.979997219777315,5.5671271611808475,5.179634557498104,5.290017936198216,-0.5871299414035329,-0.11038337870011183,1,22,5.5,5.25,5.75,5.25,3.5,4.5,1
27546bd7-e72d-4486-b4de-d0f13d0c1201,4.591743289058369,4.835733467667217,4.7940439021361145,4.618881768230546,-0.24399017860884786,0.17516213390556867,2,19,4,3.25,4.5,2.5,3.5,2.5,1
278cc728-7a12-42f3-9f69-c2128b5b16f9,3.899828562953726,3.666549468267459,3.711210652928718,3.261101798038636,0.23327909468626729,0.450108854890082,1,20,4.5,4.5,4,3.75,4,3.5,1
2a54765b-9628-482a-be88-fa0f19bb7294,5.171942265316577,4.597408124098342,4.325690476118008,4.540703806249146,0.5745341412182352,-0.21501333013113832,2,20,5,5,5,4.75,3.5,2,2
33051c35-0ca7-45c1-b33a-4e05aae0d4d1,6.200953340053305,6.203513436692003,6.258426335235814,5.984625552907936,-0.0025600966386978286,0.2738007823278785,1,19,3.5,4,4.5,3.25,3.5,3,2
36335c7f-6492-486b-95d0-65930755c6da,4.1894652856755945,3.7637644218999027,3.9766865254262047,3.8367905440590793,0.42570086377569183,0.13989598136712544,1,20,4,5.25,4.25,3.75,4,4,1
